notation,prefLabel
000,KIRJA-ALA
001,Kirjoitus. Kirjoitustaito
001.09,Kirjoituksen historia. Paleografia. Epigrafia
001.1,Konekirjoitus
001.2,Pikakirjoitus
002,Symbolit. Koodit. Merkkijärjestelmät
003,Kirjan historia
004,Kustannustoimi. Kirjakauppa
005,Kirjapainotaito. Graafinen teollisuus
006,Kirjansidonta. Kirjansidontataide
007,Lukeminen. Lukutaito
008,Johdatukset tieteisiin
010,BIBLIOGRAFIA
010.1,Anonyymi- ja pseudonyymiluettelot
010.5,Valikoimaluettelot
010.6,Lasten- ja nuortenkirjallisuuden luettelot
011,Yleisbibliografiat. Kansallisbibliografiat
011.1,Suomi
012,Kirjastojen luettelot
012.1,Suomi
013,Kustantajien ja kirjakauppojen luettelot
013.1,Suomi
015,Erikoisalojen bibliografiat
015.1,Filosofia. Psykologia. Kasvatustiede
015.2,Uskonto
015.3,Yhteiskunta
015.4,Maantiede. Matkat. Kansatiede
015.5,Luonnontieteet. Matematiikka
015.6,Lääketiede. Tekniikka. Teollisuus. Maa- ja metsätalous. Liiketalous. Kotitalous. Käsityö
015.7,Taiteet. Liikunta
015.8,Kirjallisuustiede. Kielitiede
015.9,Historia
016,Paikallisbibliografiat. Henkilöbibliografiat
018,Kirjojen keräily. Bibliofilia. Exlibrikset
020,KIRJASTOT. KIRJASTOTOIMI
020.1,Kirjastojen tehtävä ja tarkoitus
021,Kirjastojen hallinto ja suunnittelu
021.1,Kirjastoautomaatio
022,Kirjastoaineisto. Kokoelmatyö
022.3,Valinta ja hankinta
022.4,Luettelointi
022.5,Sisällönkuvailu
022.8,Muu kuin kirja-aineisto kirjastossa
023,Kirjaston käyttö. Kirjastososiologia
024,Yleisönpalvelu
024.1,Lainaus
024.2,Tietopalvelu. Informaatiopalvelu
024.3,Lastenkirjastot
024.31,Koulukirjastot
024.4,Erityisten väestöryhmien kirjastopalvelut
024.41,Sairaalakirjastot
024.5,Erikoiskokoelmat
024.51,Paikalliskokoelmat
024.52,Musiikkikirjastot
024.6,Kirjastoautot. Kirjastoveneet
024.9,Muu kirjastotoiminta
025,Kirjastonkäytön opastus
026,Yleiset kirjastot
026.1,Suomi
027,"Erikoiskirjastot. Yhdistysten, laitosten ja yritysten kirjastot"
027.1,Suomi
028,Yleiset tieteelliset kirjastot
028.1,Suomi
029,Kirjastohistoria
029.1,Suomi
03,Sanakirjat. Hakuteokset (Muotoluokka)
030,YLEISET TIETOSANAKIRJAT
031,Suomenkieliset
032,Ruotsinkieliset
033,Saksankieliset
034,Englanninkieliset
035,Ranskankieliset
036,Italiankieliset
037,Espanjankieliset
038,Venäjänkieliset
040,YLEISET KOKOOMATEOKSET
041,Suomi
05,Kausijulkaisut (Muotoluokka)
050,YLEISET KAUSIJULKAISUT
051,Suomenkieliset
051.1,Suomessa ilmestyvät ruotsinkieliset
051.2,Suomessa ilmestyvät vieraskieliset
052,Ruotsinkieliset
053,Saksankieliset
054,Englanninkieliset
054.1,Amerikan englanninkieliset
055,Ranskankieliset
056,Italiankieliset
057,Espanjankieliset
058,Venäjänkieliset
060,YLEINEN KULTTUURIPOLITIIKKA
060.1,Dokumentaatio ja informaatiopalvelu yleensä
060.2,Museonhoito
060.3,Arkistonhoito
061,Suomen yleiset kulttuurijärjestöt ja -laitokset
063,Muiden maiden yleiset kulttuurijärjestöt ja -laitokset
070,SANOMALEHDET
071,Suomenkieliset
071.1,Suomessa ilmestyvät ruotsinkieliset
071.2,Suomessa ilmestyvät vieraskieliset
072,Ruotsinkieliset
073,Saksankieliset
074,Englanninkieliset
074.1,Amerikan englanninkieliset
075,Ranskankieliset
076,Italiankieliset
077,Espanjankieliset
078,Venäjänkieliset
081,Standardit. Normit (Muotoluokka)
083,Taulukot. Tilastot (Muotoluokka)
084,Kartat. Kartastot (Muotoluokka)
09,Historia (Muotoluokka)
1,SUOMENKIELINEN KAUNOKIRJALLISUUS (Kaunoluokka)
1.1,Suomenkieliset kansanrunot (Kaunoluokka)
1.2,Suomenkieliset runot (Kaunoluokka)
1.3,Suomenkieliset näytelmät ja  kuunnelmat (Kaunoluokka)
1.4,"Suomenkieliset romaanit, novellit ja näytelmäelokuvat (Kaunoluokka)"
1.5,Suomenkielinen  murrekirjallisuus (Kaunoluokka)
1.7,Suomenkieliset sadut (Kaunoluokka)
1.79,Suomenkieliset kuvakirjat (Kaunoluokka)
1.791,Suomenkieliset sarjakuvat ja animaatioelokuvat (Kaunoluokka)
1.8,Vironkielinen kaunokirjallisuus (Kaunoluokka)
1.81,Vironkieliset kansanrunot (Kaunoluokka)
1.82,Vironkieliset runot (Kaunoluokka)
1.83,Vironkieliset näytelmät ja kuunnelmat (Kaunoluokka)
1.84,"Vironkieliset romaanit, novellit ja näytelmäelokuvat (Kaunoluokka)"
1.87,"Vironkieliset sadut, kuvakirjat ja sarjakuvat (Kaunoluokka)"
1.9,Muiden suomalais-ugrilaisten kielten kaunokirjallisuus (Kaunoluokka)
1.91,Karjalankielinen kaunokirjallisuus (Kaunoluokka)
1.94,Unkarinkielinen kaunokirjallisuus (Kaunoluokka)
1.941,Unkarinkieliset kansanrunot (Kaunoluokka)
