notation,prefLabel
0,YLEISTEOKSET. KIRJA-ALA. KIRJASTOTOIMI YLEINEN KULTTUURIPOLITIIKKA. JOUKKOTIEDOTUS
00,KIRJA-ALA
00.1,Kirjoitus
00.109,Kirjoituksen historia. Paleografia. Epigrafia
00.2,Symbolit. Koodit. Merkkijärjestelmät
00.4,Kirjapainotaito. Graafinen teollisuus
00.5,Kirjansidonta
00.6,Kustannustoiminta. Kirjakauppa
00.8,Kirjojen keräily. Bibliofilia
01,BIBLIOGRAFIA
01,Filosofia. Teoria. Tutkimusmenetelmät (Muotoluokka)
01.2,Yleisbibliografiat. Kansallisbibliografiat
01.21,Kustantajien ja kirjakauppojen luettelot
01.22,Opinnäyte- ja väitöskirjaluettelot
01.3,Paikallisbibliografiat
01.4,Henkilöbibliografiat
01.5,Erikoisalojen luettelot
01.51,Filosofia. Psykologia. Rajatieto
01.52,Uskonto
01.53,Yhteiskunta
01.54,Maantiede. Matkat. Kansatiede
01.55,Luonnontieteet. Matematiikka. Lääketiede
01.56,Tekniikka. Teollisuus. Käsityö. Maa- ja metsätalous Kotitalous. Liiketalous. Liikenne
01.57,Taiteet. Liikunta
01.58,Kaunokirjallisuus. Kirjallisuustiede. Kielitiede
01.59,Historia
01.7,Kirjastojen yhteisluettelot
01.8,Yksittäisten kirjastojen luettelot
02,KIRJASTOTOIMI. KIRJASTOTIEDE. INFORMATIIKKA
02,Kartat. Kartastot (Muotoluokka)
02.1,Kirjastojen hallinto ja suunnittelu
02.3,Kirjastonhoito. Kirjastotekniikka
02.31,Kirjastoautomaatio
02.32,Kirjastoaineisto. Kokoelmien hoito
02.321,Sisällönkuvailu
02.323,Luettelointi
02.33,Lainaus
02.36,Tietopalvelu. Informaatiopalvelu
02.38,Laajennettu kirjastotoiminta
02.4,Musiikkikirjastotyö
02.6,Lastenkirjastotyö. Nuortenkirjastotyö
02.64,Koulukirjastotyö
02.7,Erityisten väestöryhmien kirjastopalvelut
02.8,Yksittäiset kirjastot
03,Hakuteokset (Muotoluokka)
03,TIEDONHAKU. YLEISET TIETOTEOKSET
038,Sanakirjat. Sanastot (Muotoluokka)
04,Kokoomateokset. Kokoelmajulkaisut. (Muotoluokka)
04,YLEISET KOKOOMATEOKSET
05,Kausijulkaisut (Muotoluokka)
05,YLEISET KAUSIJULKAISUT
05.1,Aikakauslehdet
05.2,Sarjajulkaisut
05.3,Vuosikirjat. Kalenterit. Almanakat
05.4,Sanomalehdet
051,Aikakauslehdet (Muotoluokka)
052,Sarjat (Muotoluokka)
053,Vuosikirjat. Kalenterit. Almanakat (Muotoluokka)
054,Sanomalehdet (Muotoluokka)
06,Järjestöt (Muotoluokka)
06,YLEINEN KULTTUURIPOLITIIKKA
06.1,Yhdistykset. Säätiöt. Seurat. Kerhot
06.2,Museot
06.3,Näyttelyt
06.4,Arkistot
06.5,Kokoukset. Kulttuuritapahtumat
06.6,Apurahat
06.8,Lasten ja nuorten kulttuuritoiminta
062,Museot. Museonhoito (Muotoluokka)
063,Näyttelyt. Messut (Muotoluokka)
064,Arkistot. Arkistonhoito (Muotoluokka)
065,Kokoukset (Muotoluokka)
07,Oppikirjat. Harjoituskirjat. Musiikin oppimateriaalit (Muotoluokka)
07,VIESTINTÄ. JOUKKOVIESTINTÄ
07.01,Kommunikaatioteoria
07.1,Lehdistöoppi
07.2,Radio- ja televisiotoiminta
07.21,Radiotoiminta
07.22,Televisiotoiminta
08,Taulukot. Tilastot (Muotoluokka)
081,Standardit. Normit (Muotoluokka)
09,Historia (Muotoluokka)
1,FILOSOFIA. PSYKOLOGIA. RAJATIETO
10,YLEISTEOKSET
10.8,Mietelausekokoelmat. Sitaattikokoelmat
11,FILOSOFIA
11.1,Vanhan ajan filosofia
11.2,Keskiajan filosofia
11.3,Renessanssin ja uuden ajan filosofia
11.4,Uusimman ajan filosofia
11.5,Nykyajan filosofia
11.9,Itämainen filosofia
12,LOGIIKKA
14,PSYKOLOGIA
14.01,"Psykologian teoria, filosofia ja tutkimusmenetelmät"
14.1,Psyyken rakenne ja toiminnot
14.11,Havaintopsykologia
14.12,Oppimisen psykologia
14.13,"Ajattelun, älykkyyden, luovuuden ja lahjakkuuden psykologia"
14.14,"Kieli-, kommunikaatio- ja ilmaisupsykologia"
14.141,Käsialantutkimus
14.16,Tunne- ja tahtotoiminnot
14.4,Persoonallisuuden psykologia
14.45,Syvyyspsykologia. Tiedostamaton sielunelämä
14.451,Uni
14.459,Hypnoosi
14.6,Kehityspsykologia
14.61,Lapsuuden ja nuoruuden psykologia
14.62,Aikuisiän ja vanhuuden psykologia
14.8,Ihmissuhteiden psykologia
15,RAJATIETO
15.1,Parapsykologia
15.7,Ufot
15.9,Okkultismi. Spiritismi. Henkimaailma
15.91,Astrologia
15.92,Unikirjat
15.93,Ennustaminen
16,TIETOTEORIA. TIEDEOPPI
16.1,Tietoteoria
16.7,Tiedeoppi. Tieteenfilosofia
16.8,Tiedepolitiikka
17,ETIIKKA. ELÄMÄNFILOSOFIA. ESTETIIKKA
17.1,Etiikka. Moraalifilosofia
17.3,Elämänfilosofia. Elämäntaito
17.5,Yleinen estetiikka
2,USKONTO
20,YLEINEN USKONTOTIEDE
20.2,Kristinusko. Teologia
21,USKONNONFILOSOFIA
21.5,Teosofia
21.51,Antroposofia
22,RAAMATTU. RAAMATUNTUTKIMUS
22.1,Vanha testamentti
22.11,Vanhan testamentin historialliset kirjat
22.12,Vanhan testamentin runolliset kirjat
22.13,Vanhan testamentin profeetalliset kirjat
22.2,Uusi testamentti
22.21,Evankeliumit
22.22,Apostolien teot. Apostolien kirjeet
22.3,Raamatun henkilöt
23,DOGMATIIKKA. KRISTILLINEN ETIIKKA
23.1,Jumala-käsite. Jumalan toiminta
23.2,Kristologia. Jeesuksen elämä
23.3,Pelastusoppi
23.31,Kääntymys. Uskoon tuleminen. Uskonelämä
23.6,Eskatologia
23.7,Uskontunnustukset. Katekismukset
23.8,Kristillinen etiikka
24,KRISTILLINEN HARTAUSKIRJALLISUUS
24.1,Hartaus
24.11,Rukous. Hartaudenharjoitus
24.12,Päivänsanat. Kristilliset päivänavaukset
24.2,Saarnat. Postillat
24.21,Saarnaoppi. Homiletiikka
24.3,Virret. Hengelliset laulut
