notation,preflabel
01,"Filosofia. Teoria. Tutkimusmenetelmät (Muotoluokka)"
02,"Kartat. Kartastot (Muotoluokka)"
03,"Hakuteokset (Muotoluokka)"
04,"Kokoomateokset. Kokoelmajulkaisut. (Muotoluokka)"
05,"Kausijulkaisut (Muotoluokka)"
06,"Järjestöt (Muotoluokka)"
07,"Oppikirjat. Harjoituskirjat. Musiikin oppimateriaalit (Muotoluokka)"
08,"Taulukot. Tilastot (Muotoluokka)"
09,"Historia (Muotoluokka)"
038,"Sanakirjat. Sanastot (Muotoluokka)"
051,"Aikakauslehdet (Muotoluokka)"
052,"Sarjat (Muotoluokka)"
053,"Vuosikirjat. Kalenterit. Almanakat (Muotoluokka)"
054,"Sanomalehdet (Muotoluokka)"
062,"Museot. Museonhoito (Muotoluokka)"
063,"Näyttelyt. Messut (Muotoluokka)"
064,"Arkistot. Arkistonhoito (Muotoluokka)"
065,"Kokoukset (Muotoluokka)"
081,"Standardit. Normit (Muotoluokka)"
